word,status,score,error,No
regress,2,10,0,0
progress,2,10,3,1
ingress,2,10,3,2
improvise,2,10,4,3
benefactor,2,10,1,4
manufacturer,2,10,4,5
shelter,2,10,1,6
fetter,2,10,1,7
disburse,2,10,1,8
kindle,2,10,2,9
sunder,2,10,2,10
miscellaneous,2,10,0,11
masquerade,2,10,2,12
renovate,2,10,1,13
lurk,2,10,1,14
hierarchy,2,10,1,15
assent,2,10,0,16
amorphous,2,10,3,17
pyre,2,10,3,18
spout,2,10,0,19
scroll,2,10,0,20
fiend,2,10,3,21
chrysanthemum,2,10,0,22
pestilence,2,10,1,23
morose,2,10,0,24
precarious,2,10,0,25
avalanche,2,10,0,26
abjure,2,10,0,27
adjure,2,10,0,28
conjure,2,10,2,29
perjure,2,10,2,30
jury,2,10,1,31
perjury,2,10,1,32
espouse,2,10,1,33
abominate,2,10,2,34
abhor,2,10,0,35
loathe,2,10,3,36
abstain,2,10,1,37
abstinence,2,10,1,38
maintain,2,10,0,39
detain,2,10,1,40
retain,2,10,0,41
pertain,2,10,0,42
distain,2,10,2,43
disdain,2,10,2,44
acerbic,2,10,2,45
exacerbate,2,10,1,46
acrid,2,10,6,47
acrimonious,2,10,3,48
acne,2,10,0,49
acumen,2,10,1,50
affluence,2,10,0,51
superfluous,2,10,0,52
effluvia,2,10,1,53
fluctuate,2,10,5,54
flux,2,10,0,55
influx,2,10,1,56
affront,2,10,3,57
confront,2,10,0,58
effrontery,2,10,0,59
revile,2,10,2,60
abuse,2,10,0,61
vilify,2,10,1,62
vile,2,10,0,63
abusive,2,10,1,64
disabuse,2,10,0,65
peruse,2,10,1,66
correct,2,10,0,67
allay,2,10,1,68
alleviate,2,10,3,69
levity,2,10,0,70
levy,2,10,3,71
gravity,2,10,0,72
rescind,2,10,3,73
slay,2,10,3,74
flay,2,10,0,75
waylay,2,10,2,76
aloof,2,10,3,77
aground,2,10,4,78
afoot,2,10,2,79
alight,2,10,5,80
akin,2,10,2,81
apathy,2,10,0,82
sympathy,2,10,0,83
antipathy,2,10,1,84
frigid,2,10,0,85
offish,2,10,2,86
passion,2,10,1,87
alternative,2,10,0,88
egoism,2,10,0,89
egocentric,2,10,1,90
alternate,2,10,3,91
altercate,2,10,0,92
altruism,2,10,1,219
adulterate,2,10,2,93
amalgam,2,10,1,94
amalgamate,2,10,0,95
coalesce,2,10,1,96
adolescence,2,10,1,97
ambush,2,10,0,98
lush,2,10,2,99
plush,2,10,1,100
gush,2,10,1,101
hush,2,10,0,102
blush,2,10,0,103
amorous,2,10,2,104
amour,2,10,0,105
amiable,2,10,1,106
amicable,2,10,2,107
amity,2,10,1,108
enmity,2,10,0,109
enamor,2,10,1,110
pamper,2,10,1,111
hostile,2,10,1,112
amphibian,2,10,1,113
ambition,2,10,0,114
ambiguous,2,10,0,115
ambivalent,2,10,1,116
ambidextrous,2,10,1,117
ambience,2,10,2,118
acquiesce,2,10,2,119
efflorescence,2,10,1,120
quiet,2,10,0,121
quiescent,2,10,5,122
quietus,2,10,1,123
acquittal,2,10,0,124
acquit,2,10,1,125
convict,2,10,0,126
addle,2,10,1,127
baffle,2,10,1,128
babble,2,10,1,129
bewilder,2,10,1,130
adept,2,10,2,131
adopt,2,10,1,132
adapt,2,10,1,133
inept,2,10,1,134
inapt,2,10,0,135
appropriate,2,10,0,136
deft,2,10,0,137
adroit,2,10,0,138
adjacent,2,10,1,139
reject,2,10,0,140
inject,2,10,0,141
deject,2,10,0,142
abject,2,10,1,143
conjecture,2,10,2,144
ejaculate,2,10,0,145
abut,2,10,1,146
depress,2,10,0,147
adjoin,2,10,2,148
adjourn,2,10,4,149
journey,2,10,0,150
journal,2,10,1,151
sojourn,2,10,1,152
diurnal,2,10,1,153
nocturnal,2,10,0,154
adultery,2,10,1,155
adulate,2,10,1,156
annihilate,2,10,2,157
nihilism,2,10,0,158
null,2,10,0,159
nullify,2,10,0,160
annul,2,10,1,161
eliminate,2,10,0,162
limit,2,10,0,163
annotate,2,10,1,164
notation,2,10,0,165
connotation,2,10,2,166
denotation,2,10,1,167
notorious,2,10,4,168
antagonize,2,10,1,169
agitate,2,10,1,170
cogitate,2,10,5,171
cogent,2,10,1,172
exigent,2,10,1,173
evidence,2,10,1,174
antagonist,2,10,0,175
protagonist,2,10,2,176
opponent,2,10,1,177
aquatic,2,10,2,178
aqueous,2,10,1,179
opaque,2,10,2,180
aquifer,2,10,0,181
transparent,2,10,1,182
arboretum,2,10,1,183
arbor,2,10,1,184
arboreal,2,10,1,185
harbor,2,10,2,186
ardent,2,10,1,187
arduous,2,10,0,188
ardor,2,10,1,189
arson,2,10,1,190
arsonist,2,10,1,191
fervid,2,10,1,192
fervent,2,10,0,193
perfervid,2,10,1,194
shield,2,10,0,195
reimburse,2,10,1,196
link,2,10,0,197
anarchy,2,10,0,198
dissent,2,10,1,199
spew,2,10,1,200
scratch,2,10,0,201
craft,2,10,0,202
relinquish,2,10,1,203
conjurer,2,10,0,204
spouse,2,10,0,205
ominous,2,10,2,206
deforest,2,10,0,207
dehydrate,2,10,0,208
loath,2,10,1,209
pertinent,2,10,2,210
flu,2,10,0,211
fluency,2,10,0,212
amplify,2,10,0,213
beautify,2,10,0,214
simplify,2,10,0,215
purify,2,10,0,216
antibody,2,10,0,217
adolescent,2,10,1,220
atmosphere,2,10,0,221
arrant,1,4,6,223
errant,2,10,0,224
erroneous,2,10,1,225
inerrancy,2,10,1,226
erratic,2,10,2,227
aberrant,2,10,1,228
abnormal,2,10,0,229
flagrant,2,10,1,230
fragrant,2,10,0,231
articulate,2,10,1,232
article,2,10,0,233
artifact,2,10,0,234
cunning,2,10,2,235
artless,2,10,1,236
artisan,2,10,1,237
partisan,2,10,0,238
ascetic,2,10,1,239
athletic,2,10,0,240
libertine,2,10,1,241
indulgent,1,4,2,242
abstemious,2,10,0,243
askew,2,10,1,244
awry,2,10,1,245
wrestling,2,10,1,246
wrangle,2,10,1,247
wreak,2,10,2,248
writhe,2,10,2,249
